ID,logTime,lidarDistance,upMotor,controlAuthority,currentManeuver,state_description,state_target,state_action,loopTime,days_since_last_case
443054,2022-11-11 09:39:48.693,572,0.0574764,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.230468,2.62345679012346E-06
443055,2022-11-11 09:39:48.953,541,-0.140697,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.230468,3.00925925925926E-06
443056,2022-11-11 09:39:49.190,541,-0.016377,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.25,2.7391975308642E-06
443057,2022-11-11 09:39:49.467,541,-0.0126525,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.234375,3.20216049382716E-06
443058,2022-11-11 09:39:49.720,475,-0.25,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.269532,2.9320987654321E-06
443059,2022-11-11 09:39:49.977,502,-0.115406,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.253906,2.97067901234568E-06
443060,2022-11-11 09:39:50.220,502,-0.209749,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.242187,2.81635802469136E-06
443061,2022-11-11 09:39:50.483,572,0.398388,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.242188,3.04783950617284E-06
443062,2022-11-11 09:39:50.727,583,0.234883,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.257812,2.81635802469136E-06
443063,2022-11-11 09:39:50.987,590,0.276409,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.242188,3.00925925925926E-06
443064,2022-11-11 09:39:51.230,590,0.238508,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.25,2.81635802469136E-06
443065,2022-11-11 09:39:51.463,590,0.23747,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.242187,2.70061728395062E-06
443066,2022-11-11 09:39:51.700,556,-0.0375654,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.230469,2.7391975308642E-06
443067,2022-11-11 09:39:51.933,531,-0.189124,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.222656,2.70061728395062E-06
443068,2022-11-11 09:39:52.173,533,-0.0667835,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.234375,2.77777777777778E-06
443069,2022-11-11 09:39:52.417,578,0.394799,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.230469,2.81635802469136E-06
443070,2022-11-11 09:39:52.677,630,0.617646,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.25,3.00925925925926E-06
443071,2022-11-11 09:39:52.933,637,0.537142,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.25,2.97067901234568E-06
443072,2022-11-11 09:39:53.177,637,0.489567,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.253906,2.81635802469136E-06
443073,2022-11-11 09:39:53.407,684,0.844731,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.234375,2.66203703703704E-06
443074,2022-11-11 09:39:53.710,696,0.86235,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.226563,3.5108024691358E-06
443075,2022-11-11 09:39:53.967,696,0.79134,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.300781,2.97067901234568E-06
443076,2022-11-11 09:39:54.227,703,0.789652,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.242188,3.00925925925926E-06
443077,2022-11-11 09:39:54.487,699,0.790009,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.261718,3.00925925925926E-06
443078,2022-11-11 09:39:55.427,695,0.700013,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.25,1.08796296296296E-05
443079,2022-11-11 09:39:55.720,649,0.500083,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.929688,3.39506172839506E-06
443080,2022-11-11 09:39:55.970,619,0.287275,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.285156,2.89351851851852E-06
443081,2022-11-11 09:39:56.250,674,0.840902,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.25,3.24074074074074E-06
443082,2022-11-11 09:39:56.497,674,0.647727,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.261719,2.85493827160494E-06
443083,2022-11-11 09:39:56.747,662,0.556214,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.246094,2.89351851851852E-06
443084,2022-11-11 09:39:56.987,652,0.498673,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.242187,2.77777777777778E-06
443085,2022-11-11 09:39:57.227,635,0.364567,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.246094,2.77777777777778E-06
443086,2022-11-11 09:39:57.443,635,0.440355,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.222656,2.50771604938272E-06
443087,2022-11-11 09:39:57.687,602,0.169069,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.21875,2.81635802469136E-06
443088,2022-11-11 09:39:57.927,602,0.288944,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.234375,2.77777777777778E-06
